"time","GSR","pks","pwr"
0,2.4601,2.4601,0
0.1,2.4601,0,0
0.2,2.4541,0,0
0.3,2.4541,0,0
0.4,2.4487,0,0
0.5,2.4487,0,0
0.6,2.445,0,0
0.7,2.445,0,0
0.8,2.445,0,0
0.9,2.442,0,0
1,2.442,0,0
1.1,2.439,0,0
1.2,2.439,0,0
1.3,2.4355,0,0
1.4,2.4355,0,0
1.5,2.4355,0,0
1.6,2.4301,0,0
1.7,2.4301,0,0
1.8,2.4236,0,0
1.9,2.4236,0,0
2,2.4177,0,0
2.1,2.4177,0,0
2.2,2.4124,0,0
2.3,2.4124,0,0
2.4,2.4124,0,0
2.5,2.4083,0,0
2.6,2.4083,0,0
2.7,2.4059,0,0
2.8,2.4059,0,0
2.9,2.4059,0,0
3,2.4059,0,0
3.1,2.4059,0,0
3.2,2.4065,0,0
3.3,2.4065,0,0
3.4,2.4077,0,0
3.5,2.4077,0,0
3.6,2.4083,0,0
3.7,2.4083,0,0
3.8,2.4083,0,0
3.9,2.41,0,0
4,2.41,0,0
4.1,2.41,0,0
4.2,2.41,0,0
4.3,2.4071,0,0
4.4,2.4071,0,0
4.5,2.4054,0,0
4.6,2.4054,0,0
4.7,2.4054,0,0
4.8,2.4159,0,0
4.9,2.4159,0,0
5,2.4331,0,0
5.1,2.4331,0,0
5.2,2.4402,2.4402,0.0347999999999997
5.3,2.4402,0,0
5.4,2.4402,0,0
5.5,2.4271,0,0
5.6,2.4271,0,0
5.7,2.3949,0,0
5.8,2.3949,0,0
5.9,2.3713,0,0
6,2.3713,0,0
6.1,2.3713,0,0
6.2,2.3719,0,0
6.3,2.3719,0,0
6.4,2.3978,0,0
6.5,2.3978,0,0
6.6,2.4384,0,0
6.7,2.4384,0,0
6.8,2.4384,0,0
6.9,2.448,2.448,0.0766999999999998
7,2.448,0,0
7.1,2.4414,0,0
7.2,2.4414,0,0
7.3,2.4283,0,0
7.4,2.4283,0,0
7.5,2.4493,0,0
7.6,2.4493,0,0
7.7,2.4493,0,0
7.8,2.4511,0,0
7.9,2.4511,0,0
8,2.4595,0,0
8.1,2.4595,0,0
8.2,2.4797,2.4797,0.0513999999999997
8.3,2.4797,0,0
8.4,2.4797,0,0
8.5,2.4529,0,0
8.6,2.4529,0,0
8.7,2.4871,0,0
8.8,2.4871,0,0
8.9,2.5305,0,0
9,2.5305,0,0
9.1,2.5305,0,0
9.2,2.5733,0,0
9.3,2.5733,0,0
9.4,2.6405,0,0
9.5,2.6405,0,0
9.6,2.6909,0,0
9.7,2.6909,0,0
9.8,2.7261,0,0
9.9,2.7261,0,0
10,2.7261,0,0
10.1,2.7592,0,0
10.2,2.7592,0,0
10.3,2.7697,2.7697,0.3168
10.4,2.7697,0,0
10.5,2.7674,0,0
10.6,2.7674,0,0
10.7,2.7674,0,0
10.8,2.7667,0,0
10.9,2.7667,0,0
11,2.7526,0,0
11.1,2.7526,0,0
11.2,2.7334,0,0
11.3,2.7334,0,0
11.4,2.7334,0,0
11.5,2.7232,0,0
11.6,2.7232,0,0
11.7,2.7312,0,0
11.8,2.7312,0,0
11.9,2.7298,0,0
12,2.7298,0,0
12.1,2.7298,0,0
12.2,2.716,0,0
12.3,2.716,0,0
12.4,2.7102,0,0
12.5,2.7102,0,0
12.6,2.6902,0,0
12.7,2.6902,0,0
12.8,2.6824,0,0
12.9,2.6824,0,0
13,2.6824,0,0
13.1,2.676,0,0
13.2,2.676,0,0
13.3,2.6481,0,0
13.4,2.6481,0,0
13.5,2.6261,0,0
13.6,2.6261,0,0
13.7,2.6261,0,0
13.8,2.6099,0,0
13.9,2.6099,0,0
14,2.618,0,0
14.1,2.618,0,0
14.2,2.6453,0,0
14.3,2.6453,0,0
14.4,2.6453,0,0
14.5,2.6704,0,0
14.6,2.6704,0,0
14.7,2.6987,0,0
14.8,2.6987,0,0
14.9,2.7109,0,0
15,2.7109,0,0
15.1,2.7167,0,0
15.2,2.7167,0,0
15.3,2.7167,0,0
15.4,2.721,0,0
15.5,2.721,0,0
15.6,2.7218,0,0
15.7,2.7218,0,0
15.8,2.7283,0,0
15.9,2.7283,0,0
16,2.7283,0,0
16.1,2.7371,0,0
16.2,2.7371,0,0
16.3,2.7503,0,0
16.4,2.7503,0,0
16.5,2.754,0,0
16.6,2.754,0,0
16.7,2.754,0,0
16.8,2.7555,2.7555,0.1456
16.9,2.7555,0,0
17,2.7526,0,0
17.1,2.7526,0,0
17.2,2.7363,0,0
17.3,2.7363,0,0
17.4,2.7363,0,0
17.5,2.7268,0,0
17.6,2.7268,0,0
17.7,2.7239,0,0
17.8,2.7239,0,0
17.9,2.7268,0,0
18,2.7268,0,0
18.1,2.721,0,0
18.2,2.721,0,0
18.3,2.721,0,0
18.4,2.7124,0,0
18.5,2.7124,0,0
18.6,2.7001,0,0
18.7,2.7001,0,0
18.8,2.6824,0,0
18.9,2.6824,0,0
19,2.6824,0,0
19.1,2.6746,0,0
19.2,2.6746,0,0
19.3,2.6725,0,0
19.4,2.6725,0,0
19.5,2.6662,0,0
19.6,2.6662,0,0
19.7,2.6662,0,0
19.8,2.6585,0,0
19.9,2.6585,0,0
20,2.6515,0,0
20.1,2.6515,0,0
20.2,2.6426,0,0
20.3,2.6426,0,0
20.4,2.6329,0,0
20.5,2.6329,0,0
20.6,2.6329,0,0
20.7,2.6234,0,0
20.8,2.6234,0,0
20.9,2.6132,0,0
21,2.6132,0,0
21.1,2.6038,0,0
21.2,2.6038,0,0
21.3,2.6038,0,0
21.4,2.5964,0,0
21.5,2.5964,0,0
21.6,2.5898,0,0
21.7,2.5898,0,0
21.8,2.5845,0,0
21.9,2.5845,0,0
22,2.5845,0,0
22.1,2.5805,0,0
22.2,2.5805,0,0
22.3,2.5739,0,0
22.4,2.5739,0,0
22.5,2.5687,0,0
22.6,2.5687,0,0
22.7,2.5647,0,0
22.8,2.5647,0,0
22.9,2.5647,0,0
23,2.5569,0,0
23.1,2.5569,0,0
23.2,2.5485,0,0
23.3,2.5485,0,0
23.4,2.5395,0,0
23.5,2.5395,0,0
23.6,2.5395,0,0
23.7,2.5318,0,0
23.8,2.5318,0,0
23.9,2.5267,0,0
24,2.5267,0,0
24.1,2.5229,0,0
24.2,2.5229,0,0
24.3,2.5229,0,0
24.4,2.5178,0,0
24.5,2.5178,0,0
24.6,2.5109,0,0
24.7,2.5109,0,0
24.8,2.5046,0,0
24.9,2.5046,0,0
25,2.5046,0,0
25.1,2.4983,0,0
25.2,2.4983,0,0
25.3,2.494,0,0
25.4,2.494,0,0
25.5,2.4921,0,0
25.6,2.4921,0,0
25.7,2.4915,0,0
25.8,2.4915,0,0
25.9,2.4915,0,0
26,2.4915,0,0
26.1,2.4915,0,0
26.2,2.4933,0,0
26.3,2.4933,0,0
26.4,2.4983,0,0
26.5,2.4983,0,0
26.6,2.4983,0,0
26.7,2.5021,0,0
26.8,2.5021,0,0
26.9,2.4958,0,0
27,2.4958,0,0
27.1,2.4952,0,0
27.2,2.4952,0,0
27.3,2.4952,0,0
27.4,2.4964,0,0
27.5,2.4964,0,0
27.6,2.5033,0,0
27.7,2.5033,0,0
27.8,2.5197,0,0
27.9,2.5197,0,0
28,2.5299,0,0
28.1,2.5299,0,0
28.2,2.5299,0,0
28.3,2.5363,0,0
28.4,2.5363,0,0
28.5,2.5375,0,0
28.6,2.5375,0,0
28.7,2.5427,0,0
28.8,2.5427,0,0
28.9,2.5427,0,0
29,2.5465,2.5465,0.0512999999999999
29.1,2.5465,0,0
29.2,2.544,0,0
29.3,2.544,0,0
29.4,2.5401,0,0
29.5,2.5401,0,0
29.6,2.5401,0,0
29.7,2.535,0,0
29.8,2.535,0,0
29.9,2.528,0,0
30,2.528,0,0
30.1,2.5241,0,0
30.2,2.5241,0,0
30.3,2.5241,0,0
30.4,2.5222,0,0
30.5,2.5222,0,0
30.6,2.5184,0,0
30.7,2.5184,0,0
30.8,2.514,0,0
30.9,2.514,0,0
31,2.5083,0,0
31.1,2.5083,0,0
31.2,2.5083,0,0
31.3,2.5039,0,0
31.4,2.5039,0,0
31.5,2.5014,0,0
31.6,2.5014,0,0
31.7,2.4989,0,0
31.8,2.4989,0,0
31.9,2.4989,0,0
32,2.4958,0,0
32.1,2.4958,0,0
32.2,2.4933,0,0
32.3,2.4933,0,0
32.4,2.4896,0,0
32.5,2.4896,0,0
32.6,2.4896,0,0
32.7,2.4871,0,0
32.8,2.4871,0,0
32.9,2.4884,0,0
33,2.4884,0,0
33.1,2.4865,0,0
33.2,2.4865,0,0
33.3,2.484,0,0
33.4,2.484,0,0
33.5,2.484,0,0
33.6,2.4822,0,0
33.7,2.4822,0,0
33.8,2.4803,0,0
33.9,2.4803,0,0
34,2.4791,0,0
34.1,2.4791,0,0
34.2,2.4791,0,0
34.3,2.4797,0,0
34.4,2.4797,0,0
34.5,2.4803,0,0
34.6,2.4803,0,0
34.7,2.4797,0,0
34.8,2.4797,0,0
34.9,2.4797,0,0
35,2.4785,0,0
35.1,2.4785,0,0
35.2,2.4748,0,0
35.3,2.4748,0,0
35.4,2.4681,0,0
35.5,2.4681,0,0
35.6,2.4681,0,0
35.7,2.4626,0,0
35.8,2.4626,0,0
35.9,2.4559,0,0
36,2.4559,0,0
36.1,2.448,0,0
36.2,2.448,0,0
36.3,2.4426,0,0
36.4,2.4426,0,0
36.5,2.4426,0,0
36.6,2.4384,0,0
36.7,2.4384,0,0
36.8,2.4331,0,0
36.9,2.4331,0,0
37,2.4295,0,0
37.1,2.4295,0,0
37.2,2.4295,0,0
37.3,2.4259,0,0
37.4,2.4259,0,0
37.5,2.4224,0,0
37.6,2.4224,0,0
37.7,2.4218,0,0
37.8,2.4218,0,0
37.9,2.4218,0,0
38,2.4224,0,0
38.1,2.4224,0,0
38.2,2.4206,0,0
38.3,2.4206,0,0
38.4,2.4183,0,0
38.5,2.4183,0,0
38.6,2.4112,0,0
38.7,2.4112,0,0
38.8,2.4112,0,0
38.9,2.4048,0,0
39,2.4048,0,0
39.1,2.3989,0,0
39.2,2.3989,0,0
39.3,2.3931,0,0
39.4,2.3931,0,0
39.5,2.3931,0,0
39.6,2.3897,0,0
39.7,2.3897,0,0
39.8,2.3862,0,0
39.9,2.3862,0,0
40,2.381,0,0
40.1,2.381,0,0
40.2,2.381,0,0
40.3,2.377,0,0
40.4,2.377,0,0
40.5,2.3736,0,0
40.6,2.3736,0,0
40.7,2.3719,0,0
40.8,2.3719,0,0
40.9,2.3719,0,0
