EMOTIVE VR DATA RECORDING
Date (year-month-day): 2022-07-01
Playback start time: 15:17
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),GSR,Arousal peak power
0.05,00_StartPlayback,(NO VIDEO),0.00,0,0
0.17,00_StartPlayback,(NO VIDEO),0.00,0,0
0.28,00_StartPlayback,(NO VIDEO),0.00,0,0
0.39,00_StartPlayback,(NO VIDEO),0.00,0,0
0.50,00_StartPlayback,(NO VIDEO),0.00,0,0
0.61,00_StartPlayback,(NO VIDEO),0.00,0,0
0.72,00_StartPlayback,(NO VIDEO),0.00,0,0
0.84,00_StartPlayback,(NO VIDEO),0.00,0,0
0.95,00_StartPlayback,(NO VIDEO),0.00,0,0
1.06,00_StartPlayback,(NO VIDEO),0.00,0,0
1.17,00_StartPlayback,(NO VIDEO),0.00,0,0
1.28,00_StartPlayback,(NO VIDEO),0.00,0,0
1.39,00_StartPlayback,(NO VIDEO),0.00,0,0
1.50,00_StartPlayback,(NO VIDEO),0.00,0,0
1.61,00_StartPlayback,(NO VIDEO),0.00,0,0
1.73,00_StartPlayback,(NO VIDEO),0.00,0,0
1.84,00_StartPlayback,(NO VIDEO),0.00,0,0
1.95,00_StartPlayback,(NO VIDEO),0.00,0,0
2.06,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.19,04_Opening Credits,04_OpeningCredits_Noninteractive,0.00,0,0
2.30,04_Opening Credits,04_OpeningCredits_Noninteractive,0.12,0,0
2.42,04_Opening Credits,04_OpeningCredits_Noninteractive,0.24,0,0
2.53,04_Opening Credits,04_OpeningCredits_Noninteractive,0.36,0,0
2.64,04_Opening Credits,04_OpeningCredits_Noninteractive,0.48,0,0
2.75,04_Opening Credits,04_OpeningCredits_Noninteractive,0.60,0,0
2.85,04_Opening Credits,04_OpeningCredits_Noninteractive,0.68,0,0
2.96,04_Opening Credits,04_OpeningCredits_Noninteractive,0.80,0,0
3.08,04_Opening Credits,04_OpeningCredits_Noninteractive,0.92,0,0
3.18,04_Opening Credits,04_OpeningCredits_Noninteractive,1.00,0,0
3.30,04_Opening Credits,04_OpeningCredits_Noninteractive,1.12,0,0
3.41,04_Opening Credits,04_OpeningCredits_Noninteractive,1.24,0,0
3.52,04_Opening Credits,04_OpeningCredits_Noninteractive,1.36,0,0
3.63,04_Opening Credits,04_OpeningCredits_Noninteractive,1.48,0,0
3.74,04_Opening Credits,04_OpeningCredits_Noninteractive,1.56,0,0
3.85,04_Opening Credits,04_OpeningCredits_Noninteractive,1.68,0,0
3.96,04_Opening Credits,04_OpeningCredits_Noninteractive,1.80,0,0
