EMOTIVE VR DATA RECORDING
Date (year-month-day): 2023-10-21
Playback start time: 22:22
Session ID: 


Time from playback start (s),Sequence name,Video clip name,Video time (s),Valence,Arousal
0.02,00_StartPlayback,(NO VIDEO),0.00,0.6636364,0.8
0.13,00_StartPlayback,(NO VIDEO),0.00,0.6181818,0.7363636
0.23,00_StartPlayback,(NO VIDEO),0.00,0.5727273,0.6727273
0.33,00_StartPlayback,(NO VIDEO),0.00,0.5272727,0.6090909
0.42,00_StartPlayback,(NO VIDEO),0.00,0.4909091,0.5454546
0.52,00_StartPlayback,(NO VIDEO),0.00,0.4454545,0.4818182
0.63,00_StartPlayback,(NO VIDEO),0.00,0.4,0.4272727
0.73,00_StartPlayback,(NO VIDEO),0.00,0.3545454,0.3636364
0.83,00_StartPlayback,(NO VIDEO),0.00,0.3545454,0.3454545
0.93,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.3363636
1.03,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.3272727
1.13,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.3181818
1.23,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.3
1.33,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.2909091
1.43,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.2818182
1.53,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.2636364
1.63,00_StartPlayback,(NO VIDEO),0.00,0.3636364,0.2545455
1.73,00_StartPlayback,(NO VIDEO),0.00,0.3727273,0.2636364
1.84,00_StartPlayback,(NO VIDEO),0.00,0.4181818,0.3363636
1.94,00_StartPlayback,(NO VIDEO),0.00,0.4727273,0.4181818
2.04,04_Opening Credits,04_OpeningCredits_Interactive,0.00,0.5181818,0.4909091
2.13,04_Opening Credits,04_OpeningCredits_Interactive,0.08,0.5636364,0.5636364
2.23,04_Opening Credits,04_OpeningCredits_Interactive,0.20,0.6090909,0.6454545
2.34,04_Opening Credits,04_OpeningCredits_Interactive,0.28,0.6545454,0.7181818
2.44,04_Opening Credits,04_OpeningCredits_Interactive,0.40,0.7,0.7909091
2.54,04_Opening Credits,04_OpeningCredits_Interactive,0.48,0.7454545,0.8636364
2.64,04_Opening Credits,04_OpeningCredits_Interactive,0.60,0.7636364,0.8909091
2.74,04_Opening Credits,04_OpeningCredits_Interactive,0.68,0.7454545,0.8545455
2.84,04_Opening Credits,04_OpeningCredits_Interactive,0.80,0.7090909,0.7909091
2.95,04_Opening Credits,04_OpeningCredits_Interactive,0.88,0.6727273,0.7272727
3.04,04_Opening Credits,04_OpeningCredits_Interactive,1.00,0.6363636,0.6636364
3.14,04_Opening Credits,04_OpeningCredits_Interactive,1.08,0.6,0.6
3.24,04_Opening Credits,04_OpeningCredits_Interactive,1.20,0.5636364,0.5363637
3.34,04_Opening Credits,04_OpeningCredits_Interactive,1.28,0.5363637,0.4727273
3.45,04_Opening Credits,04_OpeningCredits_Interactive,1.40,0.5,0.4090909
3.55,04_Opening Credits,04_OpeningCredits_Interactive,1.48,0.4636364,0.3454545
3.65,04_Opening Credits,04_OpeningCredits_Interactive,1.60,0.4181818,0.2727273
3.75,04_Opening Credits,04_OpeningCredits_Interactive,1.68,0.4181818,0.2727273
3.85,04_Opening Credits,04_OpeningCredits_Interactive,1.80,0.4090909,0.2636364
3.95,04_Opening Credits,04_OpeningCredits_Interactive,1.88,0.4090909,0.2636364
4.05,04_Opening Credits,04_OpeningCredits_Interactive,2.00,0.4,0.2545455
4.15,04_Opening Credits,04_OpeningCredits_Interactive,2.08,0.3909091,0.2545455
4.25,04_Opening Credits,04_OpeningCredits_Interactive,2.20,0.3818182,0.2545455
4.35,04_Opening Credits,04_OpeningCredits_Interactive,2.28,0.3818182,0.2454545
4.45,04_Opening Credits,04_OpeningCredits_Interactive,2.40,0.3727273,0.2454545
4.55,04_Opening Credits,04_OpeningCredits_Interactive,2.48,0.3636364,0.2363636
4.65,04_Opening Credits,04_OpeningCredits_Interactive,2.60,0.3545454,0.2363636
4.75,04_Opening Credits,04_OpeningCredits_Interactive,2.68,0.3545454,0.2363636
4.85,04_Opening Credits,04_OpeningCredits_Interactive,2.80,0.3636364,0.2363636
4.95,04_Opening Credits,04_OpeningCredits_Interactive,2.88,0.3636364,0.2363636
5.05,04_Opening Credits,04_OpeningCredits_Interactive,3.00,0.3636364,0.2454545
5.16,04_Opening Credits,04_OpeningCredits_Interactive,3.12,0.3727273,0.2454545
5.26,04_Opening Credits,04_OpeningCredits_Interactive,3.20,0.3727273,0.2454545
5.36,04_Opening Credits,04_OpeningCredits_Interactive,3.32,0.3727273,0.2454545
5.46,04_Opening Credits,04_OpeningCredits_Interactive,3.40,0.3727273,0.2454545
5.55,04_Opening Credits,04_OpeningCredits_Interactive,3.52,0.3818182,0.2545455
5.66,04_Opening Credits,04_OpeningCredits_Interactive,3.60,0.3818182,0.2545455
5.76,04_Opening Credits,04_OpeningCredits_Interactive,3.72,0.4,0.2727273
5.86,04_Opening Credits,04_OpeningCredits_Interactive,3.80,0.4454545,0.3363636
5.96,04_Opening Credits,04_OpeningCredits_Interactive,3.92,0.4818182,0.3909091
6.06,04_Opening Credits,04_OpeningCredits_Interactive,4.00,0.5363637,0.4545455
6.16,04_Opening Credits,04_OpeningCredits_Interactive,4.12,0.5818182,0.5090909
6.26,04_Opening Credits,04_OpeningCredits_Interactive,4.20,0.6181818,0.5636364
6.36,04_Opening Credits,04_OpeningCredits_Interactive,4.32,0.6636364,0.6181818
6.46,04_Opening Credits,04_OpeningCredits_Interactive,4.40,0.7090909,0.6727273
6.56,04_Opening Credits,04_OpeningCredits_Interactive,4.52,0.7454545,0.7272727
6.66,04_Opening Credits,04_OpeningCredits_Interactive,4.60,0.7818182,0.7727273
6.77,04_Opening Credits,04_OpeningCredits_Interactive,4.72,0.7454545,0.7181818
6.86,04_Opening Credits,04_OpeningCredits_Interactive,4.80,0.7090909,0.6727273
6.96,04_Opening Credits,04_OpeningCredits_Interactive,4.92,0.6727273,0.6181818
7.06,04_Opening Credits,04_OpeningCredits_Interactive,5.00,0.6363636,0.5727273
7.16,04_Opening Credits,04_OpeningCredits_Interactive,5.12,0.6,0.5181818
7.27,04_Opening Credits,04_OpeningCredits_Interactive,5.20,0.5636364,0.4727273
7.37,04_Opening Credits,04_OpeningCredits_Interactive,5.32,0.5272727,0.4181818
7.47,04_Opening Credits,04_OpeningCredits_Interactive,5.40,0.4909091,0.3727273
7.57,04_Opening Credits,04_OpeningCredits_Interactive,5.52,0.4545455,0.3181818
7.66,04_Opening Credits,04_OpeningCredits_Interactive,5.60,0.4272727,0.2818182
7.77,04_Opening Credits,04_OpeningCredits_Interactive,5.72,0.4272727,0.2818182
7.87,04_Opening Credits,04_OpeningCredits_Interactive,5.80,0.4181818,0.2818182
7.97,04_Opening Credits,04_OpeningCredits_Interactive,5.92,0.4090909,0.2818182
8.07,04_Opening Credits,04_OpeningCredits_Interactive,6.00,0.4090909,0.2818182
8.17,04_Opening Credits,04_OpeningCredits_Interactive,6.12,0.4,0.2818182
8.27,04_Opening Credits,04_OpeningCredits_Interactive,6.20,0.3909091,0.2818182
8.38,04_Opening Credits,04_OpeningCredits_Interactive,6.32,0.3909091,0.2818182
8.47,04_Opening Credits,04_OpeningCredits_Interactive,6.40,0.3818182,0.2818182
8.59,04_Opening Credits,04_OpeningCredits_Interactive,6.52,0.3818182,0.2818182
8.69,04_Opening Credits,04_OpeningCredits_Interactive,6.64,0.3727273,0.2818182
8.79,04_Opening Credits,04_OpeningCredits_Interactive,6.72,0.3727273,0.2818182
8.89,04_Opening Credits,04_OpeningCredits_Interactive,6.84,0.3727273,0.2818182
8.99,04_Opening Credits,04_OpeningCredits_Interactive,6.92,0.3727273,0.2818182
9.09,04_Opening Credits,04_OpeningCredits_Interactive,7.04,0.3727273,0.2818182
9.19,04_Opening Credits,04_OpeningCredits_Interactive,7.12,0.3727273,0.2818182
9.29,04_Opening Credits,04_OpeningCredits_Interactive,7.24,0.3727273,0.2818182
9.39,04_Opening Credits,04_OpeningCredits_Interactive,7.32,0.3727273,0.2818182
9.49,04_Opening Credits,04_OpeningCredits_Interactive,7.44,0.3727273,0.2818182
9.59,04_Opening Credits,04_OpeningCredits_Interactive,7.52,0.3727273,0.2818182
9.70,04_Opening Credits,04_OpeningCredits_Interactive,7.64,0.3727273,0.2818182
9.80,04_Opening Credits,04_OpeningCredits_Interactive,7.72,0.3727273,0.2727273
9.89,04_Opening Credits,04_OpeningCredits_Interactive,7.84,0.3727273,0.2727273
9.99,04_Opening Credits,04_OpeningCredits_Interactive,7.96,0.3727273,0.2636364
10.09,04_Opening Credits,04_OpeningCredits_Interactive,8.04,0.3727273,0.2636364
10.20,04_Opening Credits,04_OpeningCredits_Interactive,8.16,0.3727273,0.2636364
10.30,04_Opening Credits,04_OpeningCredits_Interactive,8.24,0.3727273,0.2545455
10.40,04_Opening Credits,04_OpeningCredits_Interactive,8.36,0.3727273,0.2545455
10.50,04_Opening Credits,04_OpeningCredits_Interactive,8.44,0.3727273,0.2545455
10.60,04_Opening Credits,04_OpeningCredits_Interactive,8.56,0.3636364,0.2454545
10.70,04_Opening Credits,04_OpeningCredits_Interactive,8.64,0.3727273,0.2545455
10.80,04_Opening Credits,04_OpeningCredits_Interactive,8.76,0.4181818,0.3272727
10.90,04_Opening Credits,04_OpeningCredits_Interactive,8.84,0.4636364,0.4
11.00,04_Opening Credits,04_OpeningCredits_Interactive,8.96,0.5090909,0.4727273
11.10,04_Opening Credits,04_OpeningCredits_Interactive,9.04,0.5454546,0.5363637
11.20,04_Opening Credits,04_OpeningCredits_Interactive,9.16,0.5909091,0.6090909
11.30,04_Opening Credits,04_OpeningCredits_Interactive,9.24,0.6363636,0.6818182
11.41,04_Opening Credits,04_OpeningCredits_Interactive,9.36,0.6727273,0.7454545
11.50,04_Opening Credits,04_OpeningCredits_Interactive,9.44,0.7181818,0.8181818
11.60,04_Opening Credits,04_OpeningCredits_Interactive,9.56,0.7636364,0.8909091
11.70,04_Opening Credits,04_OpeningCredits_Interactive,9.64,0.7454545,0.8636364
11.80,04_Opening Credits,04_OpeningCredits_Interactive,9.76,0.7090909,0.8090909
11.91,04_Opening Credits,04_OpeningCredits_Interactive,9.84,0.6727273,0.7454545
12.01,04_Opening Credits,04_OpeningCredits_Interactive,9.96,0.6363636,0.6909091
12.11,04_Opening Credits,04_OpeningCredits_Interactive,10.04,0.6,0.6363636
12.21,04_Opening Credits,04_OpeningCredits_Interactive,10.16,0.5545455,0.5636364
12.31,04_Opening Credits,04_OpeningCredits_Interactive,10.24,0.5181818,0.5
12.41,04_Opening Credits,04_OpeningCredits_Interactive,10.36,0.4818182,0.4454545
12.52,04_Opening Credits,04_OpeningCredits_Interactive,10.44,0.4454545,0.3818182
12.62,04_Opening Credits,04_OpeningCredits_Interactive,10.56,0.4090909,0.3272727
12.71,04_Opening Credits,04_OpeningCredits_Interactive,10.64,0.3727273,0.2818182
12.81,04_Opening Credits,04_OpeningCredits_Interactive,10.76,0.3727273,0.2818182
12.91,04_Opening Credits,04_OpeningCredits_Interactive,10.88,0.3727273,0.2818182
13.02,04_Opening Credits,04_OpeningCredits_Interactive,10.96,0.3727273,0.2818182
13.12,04_Opening Credits,04_OpeningCredits_Interactive,11.08,0.3727273,0.2818182
13.22,04_Opening Credits,04_OpeningCredits_Interactive,11.16,0.3727273,0.2818182
13.32,04_Opening Credits,04_OpeningCredits_Interactive,11.28,0.3727273,0.2818182
13.41,04_Opening Credits,04_OpeningCredits_Interactive,11.36,0.3727273,0.2818182
13.52,04_Opening Credits,04_OpeningCredits_Interactive,11.48,0.3727273,0.2818182
13.62,04_Opening Credits,04_OpeningCredits_Interactive,11.56,0.3727273,0.2818182
13.72,04_Opening Credits,04_OpeningCredits_Interactive,11.68,0.3818182,0.2818182
13.82,04_Opening Credits,04_OpeningCredits_Interactive,11.76,0.3818182,0.2727273
13.92,04_Opening Credits,04_OpeningCredits_Interactive,11.88,0.3818182,0.2727273
14.02,04_Opening Credits,04_OpeningCredits_Interactive,11.96,0.3818182,0.2727273
14.13,04_Opening Credits,04_OpeningCredits_Interactive,12.08,0.3818182,0.2727273
14.22,04_Opening Credits,04_OpeningCredits_Interactive,12.16,0.3818182,0.2636364
14.32,04_Opening Credits,04_OpeningCredits_Interactive,12.28,0.3818182,0.2636364
14.42,04_Opening Credits,04_OpeningCredits_Interactive,12.36,0.3818182,0.2636364
14.52,04_Opening Credits,04_OpeningCredits_Interactive,12.48,0.3818182,0.2636364
14.63,04_Opening Credits,04_OpeningCredits_Interactive,12.56,0.3818182,0.2636364
14.73,04_Opening Credits,04_OpeningCredits_Interactive,12.68,0.3818182,0.2545455
14.83,04_Opening Credits,04_OpeningCredits_Interactive,12.76,0.3818182,0.2545455
14.92,04_Opening Credits,04_OpeningCredits_Interactive,12.88,0.3727273,0.2545455
15.02,04_Opening Credits,04_OpeningCredits_Interactive,12.96,0.3727273,0.2545455
15.13,04_Opening Credits,04_OpeningCredits_Interactive,13.08,0.3727273,0.2545455
15.23,04_Opening Credits,04_OpeningCredits_Interactive,13.16,0.3727273,0.2454545
15.33,04_Opening Credits,04_OpeningCredits_Interactive,13.28,0.3727273,0.2454545
15.43,04_Opening Credits,04_OpeningCredits_Interactive,13.36,0.3636364,0.2454545
15.53,04_Opening Credits,04_OpeningCredits_Interactive,13.48,0.3636364,0.2454545
15.63,04_Opening Credits,04_OpeningCredits_Interactive,13.56,0.3636364,0.2454545
15.73,04_Opening Credits,04_OpeningCredits_Interactive,13.68,0.4,0.3090909
15.83,04_Opening Credits,04_OpeningCredits_Interactive,13.76,0.4363636,0.3727273
15.93,04_Opening Credits,04_OpeningCredits_Interactive,13.88,0.4727273,0.4363636
16.03,04_Opening Credits,04_OpeningCredits_Interactive,13.96,0.5090909,0.5
16.13,04_Opening Credits,04_OpeningCredits_Interactive,14.08,0.5454546,0.5636364
16.23,04_Opening Credits,04_OpeningCredits_Interactive,14.16,0.5818182,0.6272727
16.34,04_Opening Credits,04_OpeningCredits_Interactive,14.28,0.6181818,0.6909091
16.43,04_Opening Credits,04_OpeningCredits_Interactive,14.36,0.6545454,0.7545455
16.53,04_Opening Credits,04_OpeningCredits_Interactive,14.48,0.6909091,0.8272727
16.63,04_Opening Credits,04_OpeningCredits_Interactive,14.60,0.7272727,0.8909091
16.73,04_Opening Credits,04_OpeningCredits_Interactive,14.68,0.7363636,0.8909091
16.84,04_Opening Credits,04_OpeningCredits_Interactive,14.80,0.7363636,0.8909091
16.94,04_Opening Credits,04_OpeningCredits_Interactive,14.88,0.7272727,0.8818182
17.04,04_Opening Credits,04_OpeningCredits_Interactive,15.00,0.6818182,0.8090909
17.14,04_Opening Credits,04_OpeningCredits_Interactive,15.08,0.6454545,0.7454545
17.24,04_Opening Credits,04_OpeningCredits_Interactive,15.20,0.6,0.6727273
17.34,04_Opening Credits,04_OpeningCredits_Interactive,15.28,0.5636364,0.6090909
17.44,04_Opening Credits,04_OpeningCredits_Interactive,15.40,0.5272727,0.5363637
17.54,04_Opening Credits,04_OpeningCredits_Interactive,15.48,0.4818182,0.4636364
17.64,04_Opening Credits,04_OpeningCredits_Interactive,15.60,0.4454545,0.4
17.74,04_Opening Credits,04_OpeningCredits_Interactive,15.68,0.4,0.3272727
17.84,04_Opening Credits,04_OpeningCredits_Interactive,15.80,0.4,0.3181818
17.95,04_Opening Credits,04_OpeningCredits_Interactive,15.88,0.3909091,0.3181818
18.05,04_Opening Credits,04_OpeningCredits_Interactive,16.00,0.3909091,0.3090909
18.15,04_Opening Credits,04_OpeningCredits_Interactive,16.08,0.3818182,0.3
18.24,04_Opening Credits,04_OpeningCredits_Interactive,16.20,0.3818182,0.2909091
18.34,04_Opening Credits,04_OpeningCredits_Interactive,16.28,0.3727273,0.2818182
18.45,04_Opening Credits,04_OpeningCredits_Interactive,16.40,0.3727273,0.2818182
18.55,04_Opening Credits,04_OpeningCredits_Interactive,16.48,0.3727273,0.2727273
18.65,04_Opening Credits,04_OpeningCredits_Interactive,16.60,0.3636364,0.2636364
18.75,04_Opening Credits,04_OpeningCredits_Interactive,16.68,0.3636364,0.2545455
18.85,04_Opening Credits,04_OpeningCredits_Interactive,16.80,0.3545454,0.2545455
18.95,04_Opening Credits,04_OpeningCredits_Interactive,16.88,0.3545454,0.2545455
19.05,04_Opening Credits,04_OpeningCredits_Interactive,17.00,0.3545454,0.2545455
19.16,04_Opening Credits,04_OpeningCredits_Interactive,17.08,0.3545454,0.2454545
19.26,04_Opening Credits,04_OpeningCredits_Interactive,17.20,0.3454545,0.2454545
19.36,04_Opening Credits,04_OpeningCredits_Interactive,17.32,0.3454545,0.2454545
19.46,04_Opening Credits,04_OpeningCredits_Interactive,17.40,0.3454545,0.2363636
